#time meanCourantNo maxCourantNo Ndt
10020 0.402431 0.58386 0.21865
10040 0.402442 0.583853 0.218695
10060 0.402454 0.583828 0.21874
10080 0.402465 0.583784 0.218785
10100 0.402475 0.583726 0.21883
10120 0.402482 0.583654 0.218875
10140 0.402486 0.58358 0.21892
10160 0.402486 0.583506 0.218965
10180 0.402483 0.583444 0.21901
10200 0.402477 0.583397 0.219055
10220 0.402468 0.583374 0.2191
10240 0.402459 0.583375 0.219144
10260 0.402449 0.583403 0.219189
10280 0.402441 0.583454 0.219233
10300 0.402435 0.583526 0.219278
10320 0.402431 0.583611 0.219322
10340 0.402429 0.583706 0.219366
10360 0.402431 0.583803 0.219411
10380 0.402435 0.583901 0.219455
10400 0.402442 0.583993 0.219498
10420 0.40245 0.584082 0.219542
10440 0.402458 0.584164 0.219586
10460 0.402466 0.584241 0.219629
10480 0.402472 0.584312 0.219672
10500 0.402477 0.584377 0.219715
10520 0.40248 0.584432 0.219758
10540 0.402481 0.584475 0.219801
10560 0.402482 0.584501 0.219844
10580 0.402482 0.584508 0.219886
10600 0.402484 0.584492 0.219929
10620 0.402488 0.584457 0.219971
10640 0.402494 0.584404 0.220013
10660 0.402503 0.584342 0.220054
10680 0.402515 0.584276 0.220096
10700 0.402529 0.584218 0.220138
10720 0.402545 0.584176 0.220179
10740 0.402564 0.584159 0.220221
10760 0.402583 0.584168 0.220262
10780 0.402602 0.584207 0.220304
10800 0.402619 0.584269 0.220345
10820 0.402635 0.584351 0.220386
10840 0.402649 0.584441 0.220426
10860 0.402659 0.584532 0.220467
10880 0.402666 0.584614 0.220508
10900 0.40267 0.584681 0.220548
10920 0.402671 0.584726 0.220588
10940 0.402668 0.584752 0.220628
10960 0.402664 0.584757 0.220668
10980 0.402657 0.584749 0.220708
11000 0.402649 0.584731 0.220748
11020 0.40264 0.584713 0.220788
11040 0.40263 0.5847 0.220827
11060 0.40262 0.584698 0.220867
11080 0.40261 0.58471 0.220906
11100 0.402599 0.584738 0.220946
11120 0.402589 0.584781 0.220985
11140 0.402579 0.584837 0.221024
11160 0.402572 0.584899 0.221063
11180 0.402567 0.584964 0.221102
11200 0.402564 0.585022 0.22114
11220 0.402564 0.58507 0.221178
11240 0.402567 0.585101 0.221217
11260 0.402571 0.585112 0.221255
11280 0.402577 0.585099 0.221292
11300 0.402583 0.585066 0.22133
11320 0.402588 0.585011 0.221367
11340 0.402591 0.58494 0.221405
11360 0.402591 0.584857 0.221442
11380 0.402587 0.58477 0.221479
11400 0.402581 0.584681 0.221515
11420 0.402572 0.584597 0.221552
11440 0.402561 0.584521 0.221588
11460 0.402549 0.584457 0.221624
11480 0.402538 0.584404 0.22166
11500 0.402527 0.584365 0.221696
11520 0.402517 0.584337 0.221732
11540 0.402507 0.584322 0.221768
11560 0.402498 0.584318 0.221804
11580 0.40249 0.584328 0.221839
11600 0.402481 0.58435 0.221875
11620 0.402472 0.584386 0.22191
11640 0.402462 0.584435 0.221945
11660 0.40245 0.584498 0.221981
11680 0.402436 0.58457 0.222016
11700 0.40242 0.584649 0.222051
11720 0.402401 0.584728 0.222086
11740 0.402379 0.584801 0.222121
11760 0.402356 0.584859 0.222155
11780 0.402333 0.584899 0.22219
11800 0.402309 0.584916 0.222224
11820 0.402286 0.584909 0.222259
11840 0.402265 0.584878 0.222293
11860 0.402246 0.584831 0.222327
11880 0.40223 0.584772 0.222361
11900 0.402217 0.584712 0.222396
11920 0.402208 0.584656 0.22243
11940 0.402202 0.584614 0.222464
11960 0.402199 0.584587 0.222498
11980 0.402199 0.584579 0.222532
12000 0.402202 0.584586 0.222566
12020 0.402206 0.584607 0.2226
12040 0.402212 0.584633 0.222634
12060 0.402218 0.584658 0.222667
12080 0.402225 0.584676 0.222701
12100 0.402232 0.584681 0.222734
12120 0.402239 0.584671 0.222768
12140 0.402244 0.584645 0.222801
12160 0.402247 0.584604 0.222834
12180 0.402249 0.584554 0.222866
12200 0.402249 0.584498 0.222899
12220 0.402247 0.584444 0.222931
12240 0.402243 0.584398 0.222963
12260 0.402236 0.584365 0.222995
12280 0.402229 0.58435 0.223027
12300 0.402221 0.584356 0.223061
12320 0.402213 0.584382 0.223097
12340 0.402205 0.584429 0.223132
12360 0.402198 0.584492 0.223168
12380 0.402194 0.58457 0.223203
12400 0.402192 0.584655 0.223238
12420 0.402193 0.584744 0.223273
12440 0.402197 0.58483 0.223308
12460 0.402204 0.584911 0.223342
12480 0.402212 0.58498 0.223377
12500 0.402221 0.585038 0.223411
12520 0.402232 0.585082 0.223444
12540 0.402241 0.585112 0.223478
12560 0.40225 0.585129 0.223511
12580 0.402258 0.585135 0.223544
12600 0.402265 0.58513 0.223577
12620 0.402271 0.585117 0.223609
12640 0.402278 0.585095 0.223642
12660 0.402285 0.585068 0.223674
12680 0.402293 0.585034 0.223706
12700 0.402304 0.584996 0.223738
12720 0.402317 0.584956 0.22377
12740 0.402332 0.584917 0.223802
12760 0.402349 0.584881 0.223834
12780 0.402368 0.584853 0.223866
12800 0.402388 0.584836 0.223898
12820 0.402408 0.584835 0.223929
12840 0.402428 0.584851 0.223961
12860 0.402447 0.584885 0.223992
12880 0.402463 0.584936 0.224024
12900 0.402477 0.585 0.224055
12920 0.402488 0.585071 0.224086
12940 0.402496 0.585144 0.224116
12960 0.4025 0.585212 0.224147
12980 0.4025 0.58527 0.224178
13000 0.402498 0.585313 0.224208
13020 0.402493 0.58534 0.224239
13040 0.402486 0.585352 0.224269
13060 0.402479 0.585352 0.2243
13080 0.402471 0.585346 0.22433
13100 0.402464 0.585339 0.224361
13120 0.402458 0.585337 0.224392
13140 0.402453 0.585346 0.224422
13160 0.40245 0.585368 0.224453
13180 0.402447 0.585404 0.224483
13200 0.402446 0.585451 0.224513
13220 0.402446 0.585506 0.224543
13240 0.402447 0.585562 0.224573
13260 0.40245 0.585615 0.224602
13280 0.402453 0.585656 0.224632
13300 0.402458 0.585682 0.224661
13320 0.402463 0.585688 0.22469
13340 0.402469 0.585674 0.224719
13360 0.402474 0.58564 0.224748
13380 0.40248 0.585589 0.224777
13400 0.402485 0.585523 0.224806
13420 0.402489 0.58545 0.224834
13440 0.40249 0.585373 0.224863
13460 0.40249 0.585299 0.224891
13480 0.402488 0.585231 0.22492
13500 0.402483 0.585175 0.224948
13520 0.402476 0.585132 0.224975
13540 0.402469 0.585104 0.225003
13560 0.40246 0.585092 0.22503
13580 0.402452 0.585095 0.225057
13600 0.402443 0.58511 0.225084
13620 0.402435 0.585137 0.225111
13640 0.402427 0.585173 0.225138
13660 0.40242 0.585216 0.225165
13680 0.402412 0.585263 0.225192
13700 0.402404 0.585313 0.225219
13720 0.402396 0.585365 0.225247
13740 0.402387 0.585415 0.225274
13760 0.402376 0.585464 0.2253
13780 0.402364 0.585509 0.225327
13800 0.40235 0.585547 0.225354
13820 0.402335 0.585578 0.22538
13840 0.40232 0.585598 0.225406
13860 0.402305 0.585607 0.225431
13880 0.40229 0.585602 0.225457
13900 0.402277 0.585583 0.225482
13920 0.402266 0.58555 0.225508
13940 0.402258 0.585507 0.225534
13960 0.402252 0.585456 0.22556
13980 0.402249 0.585401 0.225586
14000 0.402249 0.585348 0.225612
14020 0.402252 0.585302 0.225639
14040 0.402257 0.585267 0.225665
14060 0.402264 0.585244 0.225691
14080 0.402273 0.585235 0.225717
14100 0.402283 0.585237 0.225743
14120 0.402293 0.585247 0.225768
14140 0.402303 0.585258 0.225793
14160 0.402312 0.585264 0.225817
14180 0.40232 0.585261 0.225841
14200 0.402325 0.585243 0.225865
14220 0.402329 0.585209 0.225889
14240 0.40233 0.58516 0.225914
14260 0.40233 0.585101 0.225939
14280 0.402327 0.585039 0.225964
14300 0.402324 0.584983 0.22599
14320 0.40232 0.58494 0.226015
14340 0.402315 0.584918 0.226041
14360 0.402311 0.584921 0.226067
14380 0.402308 0.584951 0.226093
14400 0.402306 0.585005 0.226118
14420 0.402305 0.585077 0.226142
14440 0.402305 0.585159 0.226166
14460 0.402307 0.585243 0.226189
14480 0.402311 0.58532 0.226211
14500 0.402316 0.585384 0.226234
14520 0.402323 0.58543 0.226256
14540 0.402332 0.585458 0.226279
14560 0.402342 0.58547 0.226302
14580 0.402353 0.58547 0.226326
14600 0.402364 0.58546 0.22635
14620 0.402375 0.585448 0.226375
14640 0.402386 0.585433 0.226399
14660 0.402396 0.58542 0.226424
14680 0.402405 0.585406 0.226448
14700 0.402415 0.585391 0.226471
14720 0.402426 0.585371 0.226494
14740 0.402437 0.585347 0.226516
14760 0.40245 0.585316 0.226537
14780 0.402463 0.58528 0.226558
14800 0.402478 0.585242 0.226579
14820 0.402495 0.585207 0.2266
14840 0.402512 0.585178 0.226621
14860 0.40253 0.585162 0.226643
14880 0.402547 0.585162 0.226664
14900 0.402564 0.58518 0.226687
14920 0.402579 0.585215 0.226709
14940 0.402593 0.585266 0.226732
14960 0.402604 0.585328 0.226754
14980 0.402612 0.585397 0.226777
15000 0.402618 0.585464 0.226798
15020 0.402622 0.585527 0.22682
15040 0.402624 0.58558 0.226841
15060 0.402622 0.58562 0.226861
15080 0.402619 0.585647 0.226882
15100 0.402615 0.58566 0.226902
15120 0.40261 0.585663 0.226923
15140 0.402605 0.58566 0.226943
15160 0.4026 0.585652 0.226964
15180 0.402596 0.585647 0.226986
15200 0.402593 0.585645 0.227007
15220 0.402592 0.585651 0.227028
15240 0.402592 0.585666 0.227049
15260 0.402594 0.58569 0.22707
15280 0.402597 0.585719 0.227091
15300 0.402602 0.585753 0.227111
15320 0.402609 0.585785 0.227131
15340 0.402617 0.58581 0.227151
15360 0.402626 0.585823 0.227171
15380 0.402635 0.58582 0.22719
15400 0.402643 0.585797 0.22721
15420 0.402651 0.585754 0.227229
15440 0.402657 0.585692 0.227249
15460 0.402662 0.585615 0.227269
15480 0.402666 0.585529 0.227288
15500 0.402668 0.585441 0.227308
15520 0.402668 0.585358 0.227328
15540 0.402666 0.585288 0.227347
